id,name,updated_at
1,Single player,1323289216.0
2,Multiplayer,1323289216.0
3,Co-operative,1323289216.0
4,Split screen,1323289216.0
5,Massively Multiplayer Online (MMO),1323289216.0
6,Battle Royale,1588855506.0
